Date,Open,High,Low,Close,Net_Close,n_holdings
2005-09-16,1000.0,1000.0,1000.0,1000.0,997.19,46
2005-09-19,996.4067517531263,996.4067517531263,996.4067517531263,996.4067517531263,993.6068487807,46
2005-09-20,988.1820225643964,988.1820225643964,988.1820225643964,988.1820225643964,985.4052310809906,46
2005-09-21,970.0439751508453,970.0439751508453,970.0439751508453,970.0439751508453,967.3181515806715,46
2005-09-22,957.9137133081811,957.9137133081811,957.9137133081811,957.9137133081811,955.2219757737851,46
2005-09-23,954.691274190514,954.691274190514,954.691274190514,954.691274190514,952.0085917100387,46
2005-09-26,958.6488126675662,958.6488126675662,958.6488126675662,958.6488126675662,955.9550095039704,46
2005-09-27,951.7483551127758,951.7483551127758,951.7483551127758,951.7483551127758,949.0739422349089,46
2005-09-28,953.9745047230592,953.9745047230592,953.9745047230592,953.9745047230592,951.2938363647875,46
2005-09-29,966.3826183977444,966.3826183977444,966.3826183977444,966.3826183977444,963.6670832400467,46
2005-09-30,970.0553406091435,970.0553406091435,970.0553406091435,970.0553406091435,967.3294851020319,46
2005-10-10,963.7247465548919,963.7247465548919,963.7247465548919,963.7247465548919,961.0166800170726,46
2005-10-11,972.6016989886219,972.6016989886219,972.6016989886219,972.6016989886219,969.8686882144639,46
2005-10-12,975.8479569758468,975.8479569758468,975.8479569758468,975.8479569758468,973.1058242167447,46
2005-10-13,964.3112957786435,964.3112957786435,964.3112957786435,964.3112957786435,961.6015810375056,46
2005-10-14,949.073959944519,949.073959944519,949.073959944519,949.073959944519,946.4070621170749,46
2005-10-17,942.9889132381189,942.9889132381189,942.9889132381189,942.9889132381189,940.3391143919199,46
2005-10-18,947.1095239262719,947.1095239262719,947.1095239262719,947.1095239262719,944.4481461640391,46
2005-10-19,946.8958456134357,946.8958456134357,946.8958456134357,946.8958456134357,944.235068287262,46
2005-10-20,951.1472182698118,951.1472182698118,951.1472182698118,951.1472182698118,948.4744945864738,46
2005-10-21,953.4939446125345,953.4939446125345,953.4939446125345,953.4939446125345,950.8146266281734,46
2005-10-24,955.1514459043667,955.1514459043667,955.1514459043667,955.1514459043667,952.4674703413756,46
2005-10-25,942.7997539143736,942.7997539143736,942.7997539143736,942.7997539143736,940.1504866058743,46
2005-10-26,928.0717202141828,928.0717202141828,928.0717202141828,928.0717202141828,925.4638386803812,46
2005-10-27,930.7043720549282,930.7043720549282,930.7043720549282,930.7043720549282,928.0890927694539,46
2005-10-28,924.4171482976759,924.4171482976759,924.4171482976759,924.4171482976759,921.8195361109596,46
2005-10-31,937.0469363500599,937.0469363500599,937.0469363500599,937.0469363500599,934.4138344589164,46
2005-11-01,934.3578523554174,934.3578523554174,934.3578523554174,934.3578523554174,931.7323067902988,46
2005-11-02,937.0076607304807,937.0076607304807,937.0076607304807,937.0076607304807,934.3746692038281,46
2005-11-03,924.6986840725186,924.6986840725186,924.6986840725186,924.6986840725186,922.100280770275,46
2005-11-04,928.3587832006375,928.3587832006375,928.3587832006375,928.3587832006375,925.7500950198439,46
2005-11-07,920.9244578042185,920.9244578042185,920.9244578042185,920.9244578042185,918.3366600777888,46
2005-11-08,922.4183649566728,922.4183649566728,922.4183649566728,922.4183649566728,919.8263693511448,46
2005-11-09,925.481171185702,925.481171185702,925.481171185702,925.481171185702,922.8805690946705,46
2005-11-10,913.7753524610131,913.7753524610131,913.7753524610131,913.7753524610131,911.207643720598,46
